id	daily	domain	company_name	dba	existing_match	variant	industry
53	Health	COMPANIES	Sanford Health			2005986	
54	Health	COMPANIES	Sanofi US Services Inc	Sanofi-Aventis U.S. Inc.			
55	Health	COMPANIES	Sanofi-Aventis US LLC				
56	Health	COMPANIES	The General Hospital Corp				
57	Health	COMPANIES	Abbott Laboratories				
58	Health	COMPANIES	Bayer Corp			3000271	
59	Health	COMPANIES	Bayer Healthcare LLC			3000271	
60	Health	COMPANIES	Bayer Healthcare Pharmaceuticals Inc			3000271	
61	Health	COMPANIES	CVS Pharmacy Inc	CVS Pharmacy			
62	Health	COMPANIES	Eli Lilly and Co		3010365		
63	Health	COMPANIES	Express Scripts Holding Co				
64	Health	COMPANIES	Fort Myers Beach Pharmacy Holdings LLC				
65	Health	COMPANIES	Fort Myers Beach Pharmacy LLC				
66	Health	COMPANIES	Provepharm Inc				
67	IP	LAW FIRMS	Acker Wood Intellectual Property Law LLC				
68	IP	LAW FIRMS	Woods Rogers		2003173		
69	IP	LAW FIRMS	Woods Oviatt Gilman LLP				
70	ip	LAW FIRMS	D Young & Co LLP				
71	Labor	COMPANIES	Atomium Corps Inc (a Colorado company)				
72	Labor	COMPANIES	Atomium Corps Inc (a Wyoming company)				
73	Labor	LAW FIRMS	Wiggins Childs Pantazis Fisher & Goldfarb				
74	Labor	LAW FIRMS	Wilkinson Walsh Eskovitz				
75	Labor	LAW FIRMS	William J Ferren & Associates				
76	Labor	LAW FIRMS	Williams & Connolly LLP				
77	Labor	LAW FIRMS	Wolf Greenfield & Sacks PC				
78	Labor	LAW FIRMS	Wolf Greenfield & Sacks PC				
79	Labor	LAW FIRMS	Wood Herron & Evans LLP				
80	Labor	LAW FIRMS	Thornton Carpenter O'Brien Lazenby & Lawrence				
81	Securities	COMPANIES	Cach LLC				
82	Securities	COMPANIES	Cadlerock III LLC				
83	Securities	COMPANIES	Calibra Inc				
84	Securities	COMPANIES	Catalyst Capital Advisors LLC				
85	Securities	COMPANIES	Cavalry Portfolio Services LLC				
86	Securities	COMPANIES	Center for Capital Markets Competitiveness				
87	Securities	COMPANIES	Center for Responsible Lending				
88	Securities	COMPANIES	Certain Underwriters at Lloyd's of London and Indian Harbor Insurance Co				
89	Securities	COMPANIES	Chester County Employees' Retirement Fund				
90	Securities	COMPANIES	Churchill Capital Corp II				
91	Securities	COMPANIES	Continental Casualty Co		3005863		
92	Securities	COMPANIES	Credit Suisse Holdings (USA) Inc				
93	Securities	COMPANIES	Cross Country Insurance Co				
94	Securities	COMPANIES	Davis Selected Advisers LP				
95	Securities	COMPANIES	Davis Selected Advisers-NY Inc				
96	Securities	COMPANIES	Libra Association				
97	Securities	COMPANIES	Mutual Fund Series Trust				
98	Securities	COMPANIES	SEB Investment Management AB				
99	Securities	COMPANIES	Securities Industry and Financial Markets Association				
100	Securities	COMPANIES	Shoreline Foundation Inc				
101	Securities	COMPANIES	The Kane Capital Investment Group LLC				
102	Securities	LAW FIRMS	Williams Mullen		2003131		
103	Securities	LAW FIRMS	Wilmer Cutler Hale and Dorr LLP				
104	Securities	LAW FIRMS	Wilmer Cutler Pickering Hale and Dorr LLP				
105	Securities	LAW FIRMS	Wilson Elser				
106	Securities	LAW FIRMS	Wilson Elser Moskowitz Edelman & Dicker		2003138		
107	Securities	LAW FIRMS	Wilson Sonsini Goodrich & Rosati		2003139		
108	Securities	LAW FIRMS	Wilson Elser Moskowitz Edleman & Dicker LLP				
109	Securities	LAW FIRMS	Zuckerman Spaeder LLP				
110	Securities	LAW FIRMS	Zwerling Schachter & Zwerling LLP				
111	Securities	LAW FIRMS	Drinker Biddle & Reath LLP				
112	Securities	LAW FIRMS	GrayRobinson PA				
113		LAW FIRMS	WilliamsMcCarthy LLP				
